iter	RMSE
0	0.9822141638
1	0.9707711488
2	0.957712044
3	0.9458743979
4	0.9319945814
5	0.9205231111
6	0.9093133047
7	0.8991624874
8	0.8861695404
9	0.8740357088
10	0.8629527797
11	0.8521424814
12	0.8430625536
13	0.8358815783
14	0.8266127562
15	0.8158124562
16	0.8043901417
17	0.7950371729
18	0.7873435314
19	0.7785248175
20	0.7703221355
21	0.7611685938
22	0.7512916653
23	0.7420285447
24	0.7329426129
25	0.7245949018
26	0.7148507693
27	0.7073254013
28	0.6995203777
29	0.6919159131
30	0.6837220905
31	0.6756570529
32	0.6678316201
33	0.6596128068
34	0.6529788985
35	0.6451379691
36	0.6372564946
37	0.6297520809
38	0.6216826167
39	0.6148540241
40	0.6077819167
41	0.601079475
42	0.5939396957
43	0.5870717093
44	0.5794734011
45	0.5735685436
46	0.5666967333
47	0.5621788564
48	0.555504041
49	0.5490884288
50	0.5449033181
51	0.538561035
52	0.5342075611
53	0.5293863958
54	0.5256047101
55	0.5196684815
56	0.5146546598
57	0.5099117866
58	0.5045400457
59	0.4998871915
60	0.4952008964
61	0.4905446615
62	0.486077836
63	0.4825858884
64	0.4782390994
65	0.4736585488
66	0.4694603969
67	0.4648301488
68	0.461484675
69	0.4591337643
70	0.4547457269
71	0.4523392834
72	0.4476413958
73	0.4431259198
74	0.4385610503
75	0.4343743688
76	0.4313195799
77	0.4271043767
78	0.4222229476
79	0.4182550425
80	0.414575787
81	0.4104518459
82	0.407339184
83	0.4044316552
84	0.4010435159
85	0.3981388127
86	0.3957984563
87	0.3931569677
88	0.3902030545
89	0.3863208995
90	0.3830763073
91	0.3803554565
92	0.3771645132
93	0.3747972437
94	0.3720740223
95	0.368303451
96	0.3656870992
97	0.362472253
98	0.3591853026
99	0.3577141833
100	0.3565172739
101	0.3547223843
102	0.3523492978
103	0.3491298293
104	0.3460402228
105	0.34315956
106	0.3407226583
107	0.3382888917
108	0.3357825726
109	0.3339884285
110	0.3311730647
111	0.3285629764
112	0.3265749503
113	0.324660215
114	0.3224227946
115	0.3196299224
116	0.3177332914
117	0.314961587
118	0.3139948302
119	0.3123039816
120	0.3110084779
121	0.309146809
122	0.3067138149
123	0.3051757712
124	0.3029599182
125	0.3013750876
126	0.3000021459
127	0.2987689215
128	0.2960844853
129	0.2938965259
130	0.2920042939
131	0.2904034399
132	0.28824648
133	0.2865120158
134	0.2849633072
135	0.2834458489
136	0.2813105722
137	0.2794971661
138	0.2777109766
